"Measure","variable","value"
"Estimates by the Benefish studies of annual fisheries harvests","Unit","K"
"Estimates by the Benefish studies of annual fisheries harvests","Unit","ST$"
"Estimates by the Benefish studies of annual fisheries harvests","Unit","SI$"
"Estimates by the Benefish studies of annual fisheries harvests","Unit","T$"
"Estimates by the Benefish studies of annual fisheries harvests","Unit","VT"
"Fish Exports","Dimension","Aggregate Commodity"
"Fish Exports","Dimension_Value","Fish meal"
"Fish Exports","Dimension_Value","Canned tuna"
"Fish Exports","Dimension_Value","Pet food"
"Fish Exports","Dimension_Value","Other domestic exports"
"Fish Exports","Dimension_Value","Total domestic exports"
"Fish Exports","Dimension_Value","Live fish"
"Fish Exports","Dimension_Value","Fresh or  chilled fish"
"Fish Exports","Dimension_Value","Pearls"
"Fish Exports","Dimension_Value","Pearl shell"
"Fish Exports","Dimension_Value","Total fisheries exports"
"Fish Exports","Dimension_Value","Total exports"
"Fish Exports","Dimension_Value","Fisheries as a % of total exports"
"Fish Exports","Dimension_Value","Purse seine fish"
"Fish Exports","Dimension_Value","Reef fish"
"Fish Exports","Dimension_Value","Crab/lobsters"
"Fish Exports","Dimension_Value","Trochus shell"
"Fish Exports","Dimension_Value","Live clams"
"Fish Exports","Dimension_Value","Other marine products"
"Fish Exports","Dimension_Value","Total marine products"
"Fish Exports","Dimension_Value","Total exports of FSM"
"Fish Exports","Dimension_Value","HS 03 exports"
"Fish Exports","Dimension_Value","HS 03 as % of total exports"
"Fish Exports","Dimension_Value","Pelagic fish"
"Fish Exports","Dimension_Value","Whole chilled"
"Fish Exports","Dimension_Value","Whole frozen"
"Fish Exports","Dimension_Value","Chilled fillets"
"Fish Exports","Dimension_Value","Frozen fillets"
"Fish Exports","Dimension_Value","Molluscs, crustaceans, and other invertebrates"
"Fish Exports","Dimension_Value","Molluscs"
"Fish Exports","Dimension_Value","Other invertebrates"
"Fish Exports","Dimension_Value","Crustaceans"
"Fish Exports","Dimension_Value","Shells"
"Fish Exports","Dimension_Value","Fish"
"Fish Exports","Dimension_Value","Seaweed"
"Fish Exports","Dimension_Value","Total fishery exports"
"Fish Exports","Dimension_Value","Total direct exports"
"Fish Exports","Dimension_Value","Live aquarium fish"
"Fish Exports","Dimension_Value","Invertebrates"
"Fish Exports","Dimension_Value","Giant clams"
"Fish Exports","Dimension_Value","Corals"
"Fish Exports","Dimension_Value","Exports of goods"
"Fish Exports","Dimension_Value","Exports of fish"
"Fish Exports","Dimension_Value","Fishery and aquaculture products"
"Fish Exports","Dimension_Value","Tuna"
"Fish Exports","Dimension_Value","Shrimp"
"Fish Exports","Dimension_Value","Trochus shells"
"Fish Exports","Dimension_Value","Other fisheries/aquaculture"
"Fish Exports","Dimension_Value","Sea cucumber"
"Fish Exports","Dimension_Value","Commercial"
"Fish Exports","Dimension_Value","Non-commercial"
"Fish Exports","Dimension_Value","Beche-de-mer"
"Fish Exports","Dimension_Value","Crab"
"Fish Exports","Dimension_Value","Fish (frozen, live, dried maw)"
"Fish Exports","Dimension_Value","Lobster (frozen, live)"
"Fish Exports","Dimension_Value","Shark (dried shark fin)"
"Fish Exports","Dimension_Value","Shell (whole, dried)"
"Fish Exports","Dimension_Value","Shrimps (frozen)"
"Fish Exports","Dimension_Value","Stingray"
"Fish Exports","Dimension_Value","Non-tuna sub-total"
"Fish Exports","Dimension_Value","Tuna (canned)"
"Fish Exports","Dimension_Value","Tuna (dried meal)"
"Fish Exports","Dimension_Value","Tuna (fresh chilled)"
"Fish Exports","Dimension_Value","Tuna (frozen flakes)"
"Fish Exports","Dimension_Value","Tuna (frozen G & G)"
"Fish Exports","Dimension_Value","Tuna (frozen loins)"
"Fish Exports","Dimension_Value","Tuna (frozen whole round)"
"Fish Exports","Dimension_Value","Tuna (fish oil)"
"Fish Exports","Dimension_Value","Tuna sub-total"
"Fish Exports","Dimension_Value","Fish, crustaceans and molluscs"
"Fish Exports","Dimension_Value","All Samoa exports"
"Fish Exports","Dimension_Value","Non-pelagic"
"Fish Exports","Dimension_Value","Pelagic"
"Fish Exports","Dimension_Value","Fish exports"
"Fish Exports","Dimension_Value","Pieces (no.)"
"Fish Exports","Dimension_Value","Volume (kg)"
"Fish Exports","Dimension_Value","Total value (SI$)"
"Fish Exports","Dimension_Value","of which: Yellowfin tunas (fresh or chilled)"
"Fish Exports","Dimension_Value","Bigeye tuna (fresh or chilled)"
"Fish Exports","Dimension_Value","Other fish fresh or chilled"
"Fish Exports","Dimension_Value","Crustaceans and molluscs and other invertebrates"
"Fish Exports","Dimension_Value","Seaweeds and other algae"
"Fish Exports","Dimension_Value","All fish, invertebrates and seaweed"
"Fish Exports","Dimension_Value","Total Tonga exports"
"Fish Exports","Dimension_Value","Total fisheries"
"Fish Exports","Year","2015"
"Fish Exports","Year","2016"
"Fish Exports","Year","2017"
"Fish Exports","Year","2018"
"Fish Exports","Year","2019"
"Fish Exports","Year","2013"
"Fish Exports","Year","2014"
"Fish Exports","Year","2020"
"Fish Exports","Year","2021"
"Fish Exports","Unit","US$"
"Fish Exports","Unit","NZ$"
"Fish Exports","Unit","Proportion"
"Fish Exports","Unit","kg"
"Fish Exports","Unit","F$"
"Fish Exports","Unit","XPF"
"Fish Exports","Unit","A$"
"Fish Exports","Unit","Pieces"
